name,country,city,categories,review_count,rating,near_station,Address,empty_slots,free_bikes,latitude,longitude,timestamp,Unique ID
La Mecanique des Fluides,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",10,4.0,00197 - CASERNE PERIGNON,6 AV LOUIS BLERIOT,19,1,43.60038605818475,1.464093716152017,2022-12-05T00:29:57.070000Z,197
De Danú,FR,Toulouse,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}]",84,4.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
La Dynamo,FR,Toulouse,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}]",31,4.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Puerto Habana,FR,Toulouse,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",33,3.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Le Seventies,FR,Toulouse,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",39,3.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Rest'O Jazz,FR,Toulouse,"[{'alias': 'jazzandblues', 'title': 'Jazz & Blues'}, {'alias': 'french', 'title': 'French'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",40,3.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Les Tilleuls,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",15,3.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Le Palacio de la Salsa,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'cuban', 'title': 'Cuban'}]",7,4.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
La Suite,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}]",11,3.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
El Cubano Club,FR,Toulouse,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'lounges', 'title': 'Lounges'}]",5,4.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Limelight Bar,FR,Toulouse,"[{'alias': 'gaybars', 'title': 'Gay Bars'}]",10,4.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Le Tartacs,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",2,5.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Le Bear's Bar,FR,Toulouse,"[{'alias': 'gaybars', 'title': 'Gay Bars'}]",7,4.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Baraka Jeux,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",3,4.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
La Salsathèque,FR,Toulouse,"[{'alias': 'dance_schools', 'title': 'Dance Schools'}, {'alias': 'bars', 'title': 'Bars'}]",1,5.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Le O Q'Sec,FR,Toulouse,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",2,4.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Black Pearl,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",3,3.5,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Chez Nous,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,5.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Animaé Bar,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,5.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Flute,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,4.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Bar des Crêtes,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,3.0,00213 - PUJOL - CHAUBET,129 AV DE CASTRES,16,1,43.6007551770534,1.46751413106582,2022-12-05T00:29:57.109000Z,213
Fat Cat,FR,Toulouse,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",33,4.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
La Cale Sèche,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",80,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
The Coffee Pot,FR,Toulouse,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",18,4.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Breughel L'Ancien,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}]",28,4.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
La Gourmandine,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}]",89,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Chez Tonton - Pastis Ô Maître,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",116,3.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
Don Pancho,FR,Toulouse,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",44,4.0,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
The George And Dragon Pub,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",43,3.5,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,4,11,43.6089519604964,1.4410035987262,2022-12-05T00:29:56.992000Z,55
