name,country,city,categories,review_count,rating,near_station
Le Bear's Bar,FR,Toulouse,"[{'alias': 'gaybars', 'title': 'Gay Bars'}]",7,4.0,00213 - PUJOL - CHAUBET
Baraka Jeux,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",3,4.0,00213 - PUJOL - CHAUBET
La Salsathèque,FR,Toulouse,"[{'alias': 'dance_schools', 'title': 'Dance Schools'}, {'alias': 'bars', 'title': 'Bars'}]",1,5.0,00213 - PUJOL - CHAUBET
Le O Q'Sec,FR,Toulouse,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",2,4.5,00213 - PUJOL - CHAUBET
Black Pearl,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",3,3.5,00213 - PUJOL - CHAUBET
Chez Nous,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,5.0,00213 - PUJOL - CHAUBET
Animaé Bar,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,5.0,00213 - PUJOL - CHAUBET
Flute,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,4.0,00213 - PUJOL - CHAUBET
Bar des Crêtes,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",1,3.0,00213 - PUJOL - CHAUBET
Fat Cat,FR,Toulouse,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",33,4.5,00055 - SAINT-SERNIN - G. ARNOULT
La Cale Sèche,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",80,4.0,00055 - SAINT-SERNIN - G. ARNOULT
The Coffee Pot,FR,Toulouse,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",18,4.5,00055 - SAINT-SERNIN - G. ARNOULT
Breughel L'Ancien,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}]",28,4.5,00055 - SAINT-SERNIN - G. ARNOULT
La Gourmandine,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}]",89,4.0,00055 - SAINT-SERNIN - G. ARNOULT
Chez Tonton - Pastis Ô Maître,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}]",116,3.5,00055 - SAINT-SERNIN - G. ARNOULT
Don Pancho,FR,Toulouse,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",44,4.0,00055 - SAINT-SERNIN - G. ARNOULT
The George And Dragon Pub,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",43,3.5,00055 - SAINT-SERNIN - G. ARNOULT
I Love Yo,FR,Toulouse,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'cafes', 'title': 'Cafes'}]",30,4.0,00055 - SAINT-SERNIN - G. ARNOULT
Evangelina,FR,Toulouse,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",60,3.5,00055 - SAINT-SERNIN - G. ARNOULT
Le Saint-Jérôme,FR,Toulouse,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",64,4.0,00055 - SAINT-SERNIN - G. ARNOULT
The Melting Pot Pub,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",37,4.0,00055 - SAINT-SERNIN - G. ARNOULT
Boca,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bars', 'title': 'Bars'}]",20,4.5,00055 - SAINT-SERNIN - G. ARNOULT
Grand Café de l'Opéra,FR,Toulouse,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'french', 'title': 'French'}]",46,4.0,00055 - SAINT-SERNIN - G. ARNOULT
La Maison,FR,Toulouse,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",62,4.0,00055 - SAINT-SERNIN - G. ARNOULT
La Compagnie Française,FR,Toulouse,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",57,3.5,00055 - SAINT-SERNIN - G. ARNOULT
Le Café de la Concorde,FR,Toulouse,"[{'alias': 'cafes', 'title': 'Cafes'}]",23,4.0,00055 - SAINT-SERNIN - G. ARNOULT
Bar L'Autan,FR,Toulouse,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'french', 'title': 'French'}]",16,4.5,00055 - SAINT-SERNIN - G. ARNOULT
Barrique et Bourrique,FR,Toulouse,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]",30,4.0,00055 - SAINT-SERNIN - G. ARNOULT
Le Wallace,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",128,3.5,00055 - SAINT-SERNIN - G. ARNOULT
De Danú,FR,Toulouse,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}]",84,4.0,00195 - LARROUSSE - RIEUX
La Maison,FR,Toulouse,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",62,4.0,00195 - LARROUSSE - RIEUX
Puerto Habana,FR,Toulouse,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",33,3.5,00195 - LARROUSSE - RIEUX
The Frog & Rosbif,FR,Toulouse,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]",94,3.5,00195 - LARROUSSE - RIEUX
Le Wallace,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",128,3.5,00195 - LARROUSSE - RIEUX
Au Poêle de la Bête,FR,Toulouse,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'pubs', 'title': 'Pubs'}]",18,4.5,00195 - LARROUSSE - RIEUX
La Dynamo,FR,Toulouse,"[{'alias': 'danceclubs', 'title': 'Dance Clubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'bars', 'title': 'Bars'}]",31,4.5,00195 - LARROUSSE - RIEUX
