Station Name,Address,empty_slots,free_bikes,latitude,longitude,timestamp,Unique ID
00037 - SAINTE-LUCIE,53 RUE SAINTE-LUCIE,6,12,43.5935069290371,1.42988070604336,2022-12-05T00:29:57.026000Z,37
00259 - PLACE RICHE,PL PAUL RICHE A COTE 231 AV DE FRONTON,13,7,43.64751,1.43298,2022-12-05T00:29:57.036000Z,259
00234 - LOUIN - RAYNAL,50M APRES 4 RUE PIERRETTE LOUIN,9,6,43.6282365928395,1.45133050456128,2022-12-05T00:29:57.037000Z,234
00192 - ROUTE DE ST SIMON - PRADO,355 ROUTE DE SAINT-SIMON,1,19,43.5876594130538,1.40916212555251,2022-12-05T00:29:57.037000Z,192
00048 - PLACE DU SALIN,18 PL DU SALIN,23,9,43.59474911973265,1.444132711268797,2022-12-05T00:29:57.038000Z,48
00266 - TOURAINE,38 RUE DE LA TOURAINE,10,10,43.57375,1.41398,2022-12-05T00:29:57.039000Z,266
00175 - METRO BORDEROUGE - MAUNOURY,FACE 52 AV BOURGES MAUNOURY,30,0,43.6394555737186,1.45256734914219,2022-12-05T00:29:57.040000Z,175
00166 - METRO RANGUEIL - GUYOU,23 RUE GUYOU,19,1,43.5743661490487,1.46203109791469,2022-12-05T00:29:57.040000Z,166
00135 - BONNEFOY - LEMAITRE,179 RUE DU FAUBOURG BONNEFOY,13,4,43.62295,1.45872,2022-12-05T00:29:57.041000Z,135
00079 - PLACE LANGE,1 PL LANGE,2,18,43.60112880561738,1.434138106708093,2022-12-05T00:29:57.042000Z,79
00210 - TERRASSE - CENTRE COMMERCIAL,FACE 42 CHE DE LA TERRASSE,15,3,43.586074956654,1.4830210409466,2022-12-05T00:29:57.042000Z,210
00075 - CHATEAU D'EAU,12 PLACE LAGANNE,1,20,43.5985426071022,1.43659075722051,2022-12-05T00:29:57.043000Z,75
00115 - DEMOISELLES - MISTRAL,8 ALL DES DEMOISELLES,10,8,43.5906220110257,1.45380582507814,2022-12-05T00:29:57.044000Z,115
